"Country","Pollution Index","GDP/Capita","WB Region","GDP"
"Iran, Islamic Rep.",0.7195121951219512,6946.85658114441,"Middle East & North Africa",563826247961.828
"Iraq",0.8536585365853658,5545.93729055897,"Middle East & North Africa",212268631248.1
"Ireland",0.6097560975609756,74433.4556552143,"Europe & Central Asia",358293477609.585
"Israel",0.9024390243902439,34134.8056061387,"Middle East & North Africa",297396080362.923
"Italy",0.7317073170731707,34877.8291405126,"Europe & Central Asia",2111901941464.099
"Jamaica",0.6829268292682927,4798.20849913382,"Latin America and the Caribbean",13868257226.838
"Japan",0.5975609756097561,48556.9272446078,"East Asia & Pacific",6156328720578.607
"Jordan",0.573170731707317,3238.25200473693,"Middle East & North Africa",31418664052.9154
"Kazakhstan",1,10857.3772771941,"Europe & Central Asia",195841527814.472
"Kenya",0.6707317073170732,1169.34364694587,"Sub - Saharan Africa",58116217883.7864
"Korea, Rep.",0.7317073170731707,26152.0307748563,"East Asia & Pacific",1345945672416.94
"Kuwait",0.9634146341463415,33545.6176294552,"Middle East & North Africa",138762386601.535
"Kyrgyz Republic",0.475609756097561,1070.3234059346,"Europe & Central Asia",6637610601.9034
"Lao PDR",0.4268292682926829,1730.40481476004,"East Asia & Pacific",11867393084.3947
"Latvia",0.5975609756097561,15553.3279725467,"Europe & Central Asia",30184965729.4402
"Lebanon",0.7804878048780488,7197.63042059815,"Middle East & North Africa",43778557772.1381
"Lesotho",0.5365853658536586,1409.21694826995,"Sub - Saharan Africa",3147259170.03227
"Liberia",0.25609756097560976,352.285953096392,"Sub - Saharan Africa",1666984015.17253
"Libya",0.6707317073170732,7314.6243955018,"Middle East & North Africa",46627921705.5561
"Liechtenstein",0.43902439024390244,141165.082856705,"Europe & Central Asia",5082366478.08994
"Lithuania",0.6219512195121951,16793.2500425428,"Europe & Central Asia",47486625803.5491
"Luxembourg",0.8414634146341463,107865.273531068,"Europe & Central Asia",64659730352.9251
"Macedonia, FYR",0.8780487804878049,5245.3596064345,"Europe & Central Asia",10926923317.7401
"Madagascar",0.3048780487804878,421.891245665385,"Sub - Saharan Africa",10788136744.3288
"Malawi",0.6585365853658537,486.445325013324,"Sub - Saharan Africa",9058635432.71192
"Malaysia",0.3048780487804878,11521.4544635159,"East Asia & Pacific",364357517618.205
"Mali",0.5487804878048781,762.225969530664,"Sub - Saharan Africa",14133178682.5182
"Mauritania",0.524390243902439,1305.20504287568,"Sub - Saharan Africa",5769246447.2384
"Mauritius",0.3170731707317073,10186.0538222188,"Sub - Saharan Africa",12881416082.2775
"Mexico",0.6585365853658537,9946.15799447644,"Latin America and the Caribbean",1284678350180.167
