"Country","Total Population","GDP/Capita","WB Region","GDP"
"India",1339180127,1963.54632112944,"South Asia",2629542211700.508
"Indonesia",263991379,4130.66327585856,"East Asia & Pacific",1090459494378.56
"Iran, Islamic Rep.",81162788,6946.85658114441,"Middle East & North Africa",563826247961.828
"Iraq",38274618,5545.93729055897,"Middle East & North Africa",212268631248.1
"Ireland",4813608,74433.4556552143,"Europe & Central Asia",358293477609.585
"Isle of Man",84287,84046.136016161,"Europe & Central Asia",6989864994.05606
"Israel",8712400,34134.8056061387,"Middle East & North Africa",297396080362.923
"Italy",60551416,34877.8291405126,"Europe & Central Asia",2111901941464.099
"Jamaica",2890299,4798.20849913382,"Latin America and the Caribbean",13868257226.838
"Japan",126785797,48556.9272446078,"East Asia & Pacific",6156328720578.607
"Jordan",9702353,3238.25200473693,"Middle East & North Africa",31418664052.9154
"Kazakhstan",18037646,10857.3772771941,"Europe & Central Asia",195841527814.472
"Kenya",49699862,1169.34364694587,"Sub - Saharan Africa",58116217883.7864
"Kiribati",116398,1708.39265503858,"East Asia & Pacific",198853488.261181
"Korea, Rep.",51466201,26152.0307748563,"East Asia & Pacific",1345945672416.94
"Kosovo",1830700,4068.2100774487,"Europe & Central Asia",7447672188.78534
"Kuwait",4136528,33545.6176294552,"Middle East & North Africa",138762386601.535
"Kyrgyz Republic",6201500,1070.3234059346,"Europe & Central Asia",6637610601.9034
"Lao PDR",6858160,1730.40481476004,"East Asia & Pacific",11867393084.3947
"Latvia",1940740,15553.3279725467,"Europe & Central Asia",30184965729.4402
"Lebanon",6082357,7197.63042059815,"Middle East & North Africa",43778557772.1381
"Lesotho",2233339,1409.21694826995,"Sub - Saharan Africa",3147259170.03227
"Liberia",4731906,352.285953096392,"Sub - Saharan Africa",1666984015.17253
"Libya",6374616,7314.6243955018,"Middle East & North Africa",46627921705.5561
"Liechtenstein",37922,141165.082856705,"Europe & Central Asia",5082366478.08994
"Lithuania",2827721,16793.2500425428,"Europe & Central Asia",47486625803.5491
"Luxembourg",599449,107865.273531068,"Europe & Central Asia",64659730352.9251
"Macao SAR, China",622567,55936.8030798414,"East Asia & Pacific",34824407683.0077
"Macedonia, FYR",2083160,5245.3596064345,"Europe & Central Asia",10926923317.7401
"Madagascar",25570895,421.891245665385,"Sub - Saharan Africa",10788136744.3288
"Malawi",18622104,486.445325013324,"Sub - Saharan Africa",9058635432.71192
